КОД ТОВАРУ	ТОВАР
11623	СП Київстар Вільна мережа
11624	СП Київстар Вільна мережа. Регіон 1
11625	СП Київстар Вільна мережа. Регіон 2
11626	СП Київстар Планшет Плюс
11627	СП Київстар Вільний смартфон
11628	СП Київстар Вільний смартфон. Регіон 1
11629	СП Київстар Вільний смартфон. Регіон 2
11630	СП Київстар Вільний студент
11631	СП Київстар Датчик
11632	СП Київстар. Вільне спілкування
11634	СП Київстар Супер Турист
11635	СП Київстар Улюблені країни
11636	Модем Київстар HUAWEI-E3531S-1/SIM
11637	Скретч карта Київстар-50
11638	Скретч карта Київстар-100
11639	Модем Київстар ZTE-MF190S/SIM
11640	Модем Київстар HUAWEI-E303/SIM
11641	Модем Київстар HUAWEI-E158/SIM
11642	СП Київстар Вільна країна
11813	СП Київстар промо
11814	СП Київстар Привет весь мир
11819	СП Київстар Дзвінки
11820	СП Київстар Дзвінки+
11821	СП Київстар Смартфон
11822	СП Київстар Смартфон+
11823	СП Київстар Дзвінки. Регіон 1
11824	СП Київстар Дзвінки+. Регіон 1
11825	СП Київстар Смартфон. Регіон 1
11826	СП Київстар Смартфон+. Регіон 1
11827	СП Київстар Дзвінки. Регіон 2
11828	СП Київстар Дзвінки+. Регіон 2
11829	СП Київстар Смартфон. Регіон 2
11830	СП Київстар Смартфон+. Регіон 2
11831	СП Київстар Смартфон Екстра
11832	СП Київстар Смартфон Екстра. Регіон 2
11887	SAMSUNG S6 Edge 32GB
11888	SAMSUNG S6 Flat SS 32GB
11889	SAMSUNG Galaxy Edge
11890	SAMSUNG Galaxy Note4
11891	SAMSUNG Galaxy S5
11892	SAMSUNG Galaxy S5 Alpha
11893	SAMSUNG Galaxy A7
11894	SAMSUNG Galaxy A5
11895	SAMSUNG Galaxy E5
11896	SAMSUNG Galaxy A3
11897	SAMSUNG Galaxy S III Duos
11898	SAMSUNG Grand Prime
11899	SAMSUNG G360H Black
11900	SAMSUNG Galaxy J1
11901	SAMSUNG Galaxy Star Advance
11902	Lenovo A369i Black
11903	Lenovo A319 Music
11904	LENOVO A328 Black
11905	LENOVO A536 Black
11906	Lenovo A5000 Black
11907	Lenovo A7000
11908	Lenovo S60 Grey
11909	Lenovo S90 Gold
11910	Lenovo P70
11911	Lenovo Vibe X2
11912	Lenovo Vibe Z2
11913	Lenovo Vibe Shot Z90 Grey
11914	LG X135
11915	LG X145
11916	LG D295 Black White
11917	LG D380
11918	LG H324
